20629ece-429f-4d76-80b6-256b81846c71|Avatr|11|อีวี|EV|ev|ACTIVE|
3be2c881-d123-4233-9102-3576405adf2d|Avatr|11|Standard|Standard|avatr-11-standard|ACTIVE|BEV
75885ce2-900d-4748-a457-e95173dd7307|BAIC|BJ30|อีวี|EV|ev|ACTIVE|
fb4d9184-b4cb-4ab6-8e62-0149b7d0999b|BAIC|X55|โปร|Pro|pro|ACTIVE|
5d28feb6-70d1-45d2-b9b0-aca98e188509|BMW|1 Series|118ไอ|118i|118i|ACTIVE|
87cf4984-d3df-4121-92da-e2645b8edcd2|BMW|3 Series|320ไอ|320i|320i|ACTIVE|
a622778b-faa1-4200-b72c-8cbdb1c426b6|BMW|3 Series|330อี|330e|330e|ACTIVE|
12377bad-7982-4745-a31f-31ac8940b676|BMW|5 Series|520ดี|520d|520d|ACTIVE|
71a7242a-ab72-43d7-9863-fb43522a4186|BMW|5 Series|ไอ5|i5|i5|ACTIVE|
311bc70d-26ca-40ae-b8e2-e1ccc3719628|BMW|iX|เอกซ์ไดรฟ์40|xDrive40|xdrive40|ACTIVE|
74fb3cd4-ce6e-401b-8f92-6570d1b2e5f4|BMW|iX|เอกซ์ไดรฟ์50|xDrive50|xdrive50|ACTIVE|
a2e6dc36-358e-4d70-b357-0f9d68e5cc49|BMW|X1|ไอเอกซ์1|iX1|ix1|ACTIVE|
75b21ae9-7c9d-4421-a81f-9c3086fff88a|BMW|X1|เอสไดรฟ์18ไอ|sDrive18i|sdrive18i|ACTIVE|
5d4228c1-c654-420b-acbc-da6e5971858e|BMW|X3|เอกซ์ไดรฟ์20ดี|xDrive20d|xdrive20d|ACTIVE|
434e749a-8c1c-4293-b649-a971eaf9bbfb|BMW|X5|เอกซ์ไดรฟ์40ดี|xDrive40d|xdrive40d|ACTIVE|
fd813481-fc35-48c8-aeaf-f9bd8133ecbc|BYD|ATTO 2|ไดนามิก|Dynamic|atto-2-dynamic|ACTIVE|BEV
b71027f3-7ea7-48a3-8146-bfc51a8162b8|BYD|ATTO 2|ระยะทางไกล|Extended Range|extended-range|ACTIVE|
f0232b4e-26d2-4a9d-accb-a9e12b1f397f|BYD|ATTO 2|พรีเมียม|Premium|atto-2-premium|ACTIVE|BEV
afd65100-73f3-42f9-b838-e69b8a0f592a|BYD|ATTO 2|ระยะทางมาตรฐาน|Standard Range|standard-range|ACTIVE|
40bd2de0-07bb-45cf-956b-77b9e9ce0058|BYD|ATTO 3|เอ็กซ์เตนเดด|Extended Range|atto-3-extended|ACTIVE|BEV
06fa3571-606b-480e-8a3f-d409f5e62ad7|BYD|ATTO 3|ระยะทางไกล|Extended Range|extended-range|ACTIVE|
e6a60370-c246-4a38-9ba3-d245f62c931e|BYD|ATTO 3|ระยะทางมาตรฐาน|Standard Range|standard-range|ACTIVE|
bd98af8b-faa9-4c69-bfa2-5923737be480|BYD|ATTO 3|สแตนดาร์ด|Standard Range|atto-3-standard|ACTIVE|BEV
496e7dbf-0808-4b87-b6cb-87eac80d2b3e|BYD|Dolphin|ไดนามิก|Dynamic|dolphin-dynamic|ACTIVE|BEV
a98c2111-8e4c-44a4-a290-fd31078e73b6|BYD|Dolphin|ระยะทางไกล|Extended Range|extended-range|ACTIVE|
82bc6dd3-65ac-4e4c-931f-7ecbd7434862|BYD|Dolphin|พรีเมียม|Premium|dolphin-premium|ACTIVE|BEV
94da8822-22e9-48ec-9b7d-d4b81e4273a5|BYD|Dolphin|ระยะทางมาตรฐาน|Standard Range|standard-range|ACTIVE|
acd266a0-2146-4751-a394-e1a3f7ecc5ae|BYD|M6|ดีเอ็ม-ไอ|DM-i|dmi|ACTIVE|
40204c4d-b4ec-4710-9f57-11984f3d2536|BYD|M6|อิเล็กทริก|Electric|m6-ev|ACTIVE|BEV
7c70c63f-6224-46ff-8105-3602d5eb34b2|BYD|Seal|ไดนามิก|Dynamic|dynamic|ACTIVE|
7bad291f-8b60-4fd5-9dfa-6cd9832898fc|BYD|Seal|ไดนามิก|Dynamic RWD|seal-dynamic|ACTIVE|BEV
bdfdfe0b-a2ce-468a-861e-3125b5ebcbfe|BYD|Seal|เพอร์ฟอร์มานซ์|Performance|performance|ACTIVE|
10cb966e-b626-4747-b121-65358a480211|BYD|Seal|เพอร์ฟอร์แมนซ์|Performance AWD|seal-performance|ACTIVE|BEV
a29c48b4-5f3e-474c-b358-4df8ee4cbef0|BYD|Seal 6|อีวี|EV|ev|ACTIVE|
add27769-6f05-48d1-8cb9-9e3d70cf49dd|BYD|Seal 6|Standard|Standard|seal-6-standard|ACTIVE|BEV
19d3f51c-d8f7-465e-9f48-d48527355041|BYD|Sealion 5 DM-i|ดีเอ็ม-ไอ|DM-i|dmi|ACTIVE|
f70e0406-c599-41c6-a6fb-118394ce11b0|BYD|Sealion 6 DM-i|ดีเอ็ม-ไอ|DM-i|dmi|ACTIVE|
3f8217b2-2177-40dc-8d23-17c68ccf6867|BYD|Sealion 7|อดวานซ์ด|Advanced|sealion-7-advanced|ACTIVE|BEV
8b5827cb-86e9-4822-980e-cd92e48847e9|BYD|Sealion 7|ดีไซน์ เอดับบลิวดี|Design AWD|design-awd|ACTIVE|
a7d06bd6-4e19-4408-8d2d-0edb8edbaeb9|Changan|CS55 Plus|พรีเมียม|Premium|premium|ACTIVE|
a83e26e3-6622-412c-92ed-49662339bafd|Changan|CS55 Plus|พรีเมียม เอ็กซ์|Premium X|premium-x|ACTIVE|
51ed12f2-0308-40a0-8e0e-a2ddae33492c|Changan|Deepal S07|อีวี|EV|ev|ACTIVE|
